gap_type,student_id,workflow_id,department,days_elapsed,confidence,priority,leading_signal,reason,evidence
incomplete_or_overdue_action_plan,S0411,AP0146,Financial Aid,46,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0146, completion_status=partially_completed, completion_percentage=23"
incomplete_or_overdue_action_plan,S0446,AP0160,Dean of Students,46,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0160, completion_status=incomplete, completion_percentage=4"
uncoordinated_multi_department,S0297,"WF00217,WF00218",Academic Advising + Financial Aid,45,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00341,SI00342,SI00343,SI00340,SI00339"
uncoordinated_multi_department,S0322,"WF00233,WF00234",Counseling + Dean of Students,45,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00365,SI00362,SI00366,SI00364,SI00363"
stale_open_referral,S0455,WF00312,Residential Life,44,High,High,referral open past the configured threshold,"Referral opened 44 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00501, status=open, owner=none"
unowned_workflow_step,S0455,WF00312,Residential Life,44,High,High,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00501, interaction_type=referral, status=open"
stale_open_referral,S0108,WF00077,Financial Aid,43,High,High,referral open past the configured threshold,"Referral opened 43 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00123, status=pending, owner=none"
unowned_workflow_step,S0108,WF00077,Financial Aid,43,High,High,referral logged with no named owner,Referral at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00123, interaction_type=referral, status=pending"
unowned_workflow_step,S0684,WF00470,Dean of Students,42,High,High,check_in logged with no named owner,Check in at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00747, interaction_type=check_in, status=open"
uncoordinated_multi_department,S0239,"WF00176,WF00177,WF00178",Counseling + Financial Aid,42,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00269,SI00266,SI00267,SI00270,SI00268"
uncoordinated_multi_department,S0246,"WF00179,WF00180",Academic Advising + Counseling,42,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Counseling) with no indication either department is aware of the other.","interaction_ids=SI00272,SI00273,SI00274,SI00271"
uncoordinated_multi_department,S0684,"WF00470,WF00471",Dean of Students + Financial Aid,42,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00749,SI00748,SI00747"
incomplete_or_overdue_action_plan,S0015,AP0008,Dean of Students,42,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0008, completion_status=incomplete, completion_percentage=31"
incomplete_or_overdue_action_plan,S0027,AP0014,Financial Aid,42,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0014, completion_status=partially_completed, completion_percentage=23"
incomplete_or_overdue_action_plan,S0217,AP0076,Residential Life,42,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0076, completion_status=incomplete, completion_percentage=34"
incomplete_or_overdue_action_plan,S0322,AP0119,Financial Aid,42,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0119, completion_status=partially_completed, completion_percentage=51"
incomplete_or_overdue_action_plan,S0602,AP0199,Dean of Students,42,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0199, completion_status=partially_completed, completion_percentage=55"
stale_open_referral,S0225,WF00168,Dean of Students,41,High,High,referral open past the configured threshold,"Referral opened 41 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00254, status=open, owner=none"
stale_open_referral,S0555,WF00377,Residential Life,41,High,High,referral open past the configured threshold,"Referral opened 41 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00615, status=open, owner=none"
unowned_workflow_step,S0225,WF00168,Dean of Students,41,High,High,referral logged with no named owner,Referral at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00254, interaction_type=referral, status=open"
unowned_workflow_step,S0239,WF00178,Financial Aid,41,High,High,handoff logged with no named owner,Handoff at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00269, interaction_type=handoff, status=open"
unowned_workflow_step,S0297,WF00218,Financial Aid,41,High,High,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00343, interaction_type=check_in, status=open"
unowned_workflow_step,S0555,WF00377,Residential Life,41,High,High,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00615, interaction_type=referral, status=open"
uncoordinated_multi_department,S0225,"WF00167,WF00168,WF00169",Dean of Students + Financial Aid,41,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00254,SI00253,SI00255"
uncoordinated_multi_department,S0555,"WF00375,WF00377",Counseling + Residential Life,41,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00612,SI00615,SI00613"
incomplete_or_overdue_action_plan,S0035,AP0017,Financial Aid,41,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0017, completion_status=partially_completed, completion_percentage=59"
incomplete_or_overdue_action_plan,S0248,AP0094,Dean of Students,41,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0094, completion_status=incomplete, completion_percentage=2"
incomplete_or_overdue_action_plan,S0595,AP0196,Residential Life,41,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0196, completion_status=partially_completed, completion_percentage=64"
incomplete_or_overdue_action_plan,S0676,AP0225,Dean of Students,41,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0225, completion_status=partially_completed, completion_percentage=31"
incomplete_or_overdue_action_plan,S0684,AP0230,Dean of Students,41,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0230, completion_status=incomplete, completion_percentage=3"
unowned_workflow_step,S0684,WF00470,Dean of Students,40,High,High,check_in logged with no named owner,Check in at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00748, interaction_type=check_in, status=open"
incomplete_or_overdue_action_plan,S0657,AP0219,Residential Life,40,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0219, completion_status=partially_completed, completion_percentage=40"
stale_open_referral,S0385,WF00276,Financial Aid,39,High,High,referral open past the configured threshold,"Referral opened 39 days ago at Financial Aid is still open, past the 21-day threshold.","interaction_id=SI00434, status=open, owner=none"
unowned_workflow_step,S0385,WF00276,Financial Aid,39,High,High,referral logged with no named owner,Referral at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00434, interaction_type=referral, status=open"
unowned_workflow_step,S0148,WF00102,Residential Life,39,High,High,check_in logged with no named owner,Check in at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00157, interaction_type=check_in, status=open"
uncoordinated_multi_department,S0148,"WF00101,WF00102,WF00103",Academic Advising + Dean of Students + Residential Life,39,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Academic Advising, Dean of Students, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00158,SI00156,SI00157,SI00155"
uncoordinated_multi_department,S0256,"WF00186,WF00188",Academic Advising + Dean of Students,39,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00287,SI00284"
uncoordinated_multi_department,S0385,"WF00274,WF00276",Academic Advising + Financial Aid,39,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00434,SI00430,SI00431,SI00429"
uncoordinated_multi_department,S0515,"WF00339,WF00340",Financial Aid + Residential Life,39,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Financial Aid, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00552,SI00551,SI00554,SI00553"
incomplete_or_overdue_action_plan,S0348,AP0127,Residential Life,39,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0127, completion_status=partially_completed, completion_percentage=70"
unowned_workflow_step,S0020,WF00015,Residential Life,38,High,High,handoff logged with no named owner,Handoff at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00024, interaction_type=handoff, status=open"
incomplete_or_overdue_action_plan,S0211,AP0073,Residential Life,38,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0073, completion_status=incomplete, completion_percentage=35"
incomplete_or_overdue_action_plan,S0365,AP0135,Dean of Students,38,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0135, completion_status=incomplete, completion_percentage=49"
uncoordinated_multi_department,S0537,"WF00361,WF00362",Counseling + Financial Aid,35,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00587,SI00589,SI00588"
incomplete_or_overdue_action_plan,S0056,AP0022,Dean of Students,35,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0022, completion_status=incomplete, completion_percentage=10"
incomplete_or_overdue_action_plan,S0225,AP0081,Financial Aid,35,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0081, completion_status=partially_completed, completion_percentage=45"
incomplete_or_overdue_action_plan,S0342,AP0125,Financial Aid,35,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0125, completion_status=incomplete, completion_percentage=25"
incomplete_or_overdue_action_plan,S0352,AP0129,Financial Aid,35,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0129, completion_status=partially_completed, completion_percentage=43"
incomplete_or_overdue_action_plan,S0664,AP0222,Dean of Students,35,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0222, completion_status=incomplete, completion_percentage=23"
stale_open_referral,S0134,WF00091,Dean of Students,34,High,High,referral open past the configured threshold,"Referral opened 34 days ago at Dean of Students is still open, past the 21-day threshold.","interaction_id=SI00144, status=open, owner=none"
unowned_workflow_step,S0121,WF00082,Residential Life,34,High,High,handoff logged with no named owner,Handoff at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00130, interaction_type=handoff, status=open"
unowned_workflow_step,S0134,WF00091,Dean of Students,34,High,High,referral logged with no named owner,Referral at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00144, interaction_type=referral, status=open"
uncoordinated_multi_department,S0121,"WF00082,WF00083",Financial Aid + Residential Life,34,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Financial Aid, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00130,SI00132,SI00133,SI00131,SI00134"
uncoordinated_multi_department,S0134,"WF00090,WF00091",Dean of Students + Financial Aid,34,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00143,SI00144"
uncoordinated_multi_department,S0548,"WF00366,WF00367,WF00368",Academic Advising + Dean of Students + Residential Life,34,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Academic Advising, Dean of Students, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00597,SI00595,SI00594,SI00596,SI00598"
incomplete_or_overdue_action_plan,S0126,AP0046,Residential Life,34,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0046, completion_status=incomplete, completion_percentage=48"
incomplete_or_overdue_action_plan,S0267,AP0100,Residential Life,34,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0100, completion_status=incomplete, completion_percentage=2"
uncoordinated_multi_department,S0036,"WF00032,WF00033",Academic Advising + Financial Aid,33,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00052,SI00053,SI00054,SI00055"
uncoordinated_multi_department,S0222,"WF00164,WF00165",Counseling + Dean of Students,33,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00249,SI00247,SI00248"
uncoordinated_multi_department,S0692,"WF00478,WF00479",Financial Aid + Residential Life,33,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Financial Aid, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00758,SI00760,SI00757,SI00759"
stale_open_referral,S0692,WF00478,Residential Life,32,High,High,referral open past the configured threshold,"Referral opened 32 days ago at Residential Life is still open, past the 21-day threshold.","interaction_id=SI00758, status=open, owner=none"
unowned_workflow_step,S0692,WF00478,Residential Life,32,High,High,referral logged with no named owner,Referral at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00758, interaction_type=referral, status=open"
unowned_workflow_step,S0316,WF00230,Dean of Students,32,High,High,handoff logged with no named owner,Handoff at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00359, interaction_type=handoff, status=pending"
unowned_workflow_step,S0081,WF00059,Financial Aid,32,High,High,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00092, interaction_type=check_in, status=open"
unowned_workflow_step,S0360,WF00257,Dean of Students,32,High,High,check_in logged with no named owner,Check in at Dean of Students has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00401, interaction_type=check_in, status=open"
uncoordinated_multi_department,S0273,"WF00198,WF00199",Academic Advising + Counseling,32,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Counseling) with no indication either department is aware of the other.","interaction_ids=SI00306,SI00307,SI00308,SI00305"
uncoordinated_multi_department,S0360,"WF00257,WF00258",Dean of Students + Residential Life,32,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00402,SI00401,SI00403"
incomplete_or_overdue_action_plan,S0049,AP0020,Residential Life,32,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0020, completion_status=partially_completed, completion_percentage=49"
incomplete_or_overdue_action_plan,S0455,AP0162,Residential Life,32,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0162, completion_status=incomplete, completion_percentage=37"
unowned_workflow_step,S0407,WF00280,Residential Life,31,High,High,check_in logged with no named owner,Check in at Residential Life has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00442, interaction_type=check_in, status=open"
unowned_workflow_step,S0515,WF00339,Financial Aid,31,High,High,check_in logged with no named owner,Check in at Financial Aid has no assigned_owner -- nobody on record is accountable for it.,"interaction_id=SI00553, interaction_type=check_in, status=open"
no_later_follow_up,S0407,WF00280,Residential Life,31,High,High,check_in with nothing recorded after it,Check in at Residential Life 31 days ago has no later interaction of any kind recorded for this student since.,"interaction_id=SI00442, status=open"
uncoordinated_multi_department,S0591,"WF00405,WF00406",Academic Advising + Financial Aid,31,High,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00654,SI00655"
incomplete_or_overdue_action_plan,S0084,AP0028,Financial Aid,31,High,High,action plan overdue with no completion recorded,Action plan at Financial Aid passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0028, completion_status=partially_completed, completion_percentage=77"
incomplete_or_overdue_action_plan,S0034,AP0016,Residential Life,28,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0016, completion_status=partially_completed, completion_percentage=66"
incomplete_or_overdue_action_plan,S0192,AP0066,Dean of Students,28,High,High,action plan overdue with no completion recorded,Action plan at Dean of Students passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0066, completion_status=incomplete, completion_percentage=36"
incomplete_or_overdue_action_plan,S0699,AP0234,Residential Life,28,High,High,action plan overdue with no completion recorded,Action plan at Residential Life passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0234, completion_status=incomplete, completion_percentage=1"
uncoordinated_multi_department,S0052,"WF00040,WF00041",Academic Advising + Dean of Students,27,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00065,SI00066,SI00067"
uncoordinated_multi_department,S0528,"WF00353,WF00354",Dean of Students + Financial Aid,26,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00575,SI00574"
uncoordinated_multi_department,S0264,"WF00190,WF00191,WF00192",Academic Advising + Dean of Students,25,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00291,SI00295,SI00293,SI00292,SI00297,SI00294,SI00290,SI00296"
uncoordinated_multi_department,S0061,"WF00047,WF00048,WF00049",Academic Advising + Counseling + Residential Life,24,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Academic Advising, Counseling, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00074,SI00075,SI00076,SI00073"
uncoordinated_multi_department,S0444,"WF00300,WF00301,WF00302",Academic Advising + Counseling + Dean of Students,24,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Academic Advising, Counseling, Dean of Students) with no indication either department is aware of the other.","interaction_ids=SI00485,SI00482,SI00480,SI00479,SI00481,SI00484,SI00483"
uncoordinated_multi_department,S0160,"WF00109,WF00110",Academic Advising + Financial Aid,20,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Academic Advising, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00166,SI00167,SI00165"
uncoordinated_multi_department,S0143,"WF00098,WF00099",Counseling + Financial Aid,18,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00152,SI00151"
uncoordinated_multi_department,S0157,"WF00107,WF00108",Dean of Students + Residential Life,18,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00163,SI00164"
uncoordinated_multi_department,S0238,"WF00174,WF00175",Dean of Students + Financial Aid,14,Medium,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Dean of Students, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00263,SI00264,SI00265,SI00262"
uncoordinated_multi_department,S0174,"WF00118,WF00119",Counseling + Residential Life,12,Low,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 2 different departments (Counseling, Residential Life) with no indication either department is aware of the other.","interaction_ids=SI00178,SI00180,SI00179"
uncoordinated_multi_department,S0574,"WF00392,WF00393,WF00394",Academic Advising + Counseling + Financial Aid,10,Low,High,concurrently active cases in unconnected departments,"Student has active, unresolved activity open simultaneously in 3 different departments (Academic Advising, Counseling, Financial Aid) with no indication either department is aware of the other.","interaction_ids=SI00638,SI00637,SI00640,SI00639"
stale_open_referral,S0640,WF00441,Academic Advising,49,High,Medium,referral open past the configured threshold,"Referral opened 49 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00703, status=open, owner=ST010"
stale_open_referral,S0557,WF00379,Academic Advising,49,High,Medium,referral open past the configured threshold,"Referral opened 49 days ago at Academic Advising is still open, past the 21-day threshold.","interaction_id=SI00617, status=open, owner=ST010"
incomplete_or_overdue_action_plan,S0322,AP0118,Counseling,49,High,Medium,action plan overdue with no completion recorded,Action plan at Counseling passed its target completion date with no actual_completion_date recorded.,"plan_id=AP0118, completion_status=incomplete, completion_percentage=59"
